Global Average WPM: 177.97

[0.00 - 0.66]  It's
[0.66 - 0.84]  a
[0.84 - 1.30]  song.
[1.42 - 1.54]  My
[1.54 - 1.76]  boy.
[2.04 - 2.44]  Wait,
[2.60 - 2.80]  wait,
[3.26 - 3.42]  I'll
[3.42 - 3.60]  give
[3.60 - 3.82]  you
[3.82 - 3.98]  a
[3.98 - 4.22]  report
[4.22 - 4.52]  of
[4.52 - 4.60]  the
[4.60 - 4.98]  spark.
[5.26 - 5.34]  Wait,
[5.46 - 5.56]  did
[5.56 - 5.68]  you
[5.68 - 5.82]  start
[5.82 - 6.10]  it?
[6.96 - 7.40]  Before
[7.40 - 7.58]  that,
[7.58 - 7.76]  the
[7.76 - 8.04]  spark
[8.04 - 8.36]  life,
[8.54 - 8.84]  toughness
[8.84 - 9.06]  and
[9.06 - 9.44]  bad.
