Global Average WPM: 233.44

[0.00 - 0.76]  I'm
[0.76 - 0.86]  gonna
[0.86 - 1.08]  move
[1.08 - 1.24]  in
[1.24 - 1.36]  and
[1.36 - 1.46]  come
[1.46 - 1.62]  to
[1.62 - 1.76]  the
[1.76 - 1.90]  start
[1.90 - 2.00]  of
[2.00 - 2.02]  the
[2.02 - 2.38]  trial
[2.38 - 2.84]  with
[2.84 - 3.12]  me.
[3.58 - 3.82]  Trying
[3.82 - 3.98]  to
[3.98 - 4.18]  keep
[4.18 - 4.34]  it
[4.34 - 4.72]  peaceful
[4.72 - 4.96]  is
[4.96 - 5.20]  this
[5.20 - 5.44]  trial
[5.44 - 5.70]  go
[5.70 - 5.86]  for
[5.86 - 6.10]  me.
[6.70 - 6.92]  Don't
[6.92 - 7.00]  pull
[7.00 - 7.20]  up
[7.20 - 7.40]  and
[7.40 - 7.60]  succeed
[7.60 - 7.96]  in
[7.96 - 8.16]  a
[8.16 - 8.40]  car
[8.40 - 8.70]  or
[8.70 - 8.94]  with
[8.94 - 9.10]  me.
[9.76 - 9.86]  You
[9.86 - 10.00]  know
[10.00 - 10.20]  how
[10.20 - 10.38]  I
[10.38 - 10.60]  like
[10.60 - 10.76]  it
[10.76 - 10.96]  when
[10.96 - 11.14]  you
[11.14 - 11.48]  love
[11.48 - 11.76]  an
[11.76 - 12.08]  army.
